stop_id,zone_id,stop_url,dwellings,stop_code,stop_desc,stop_name,block_area,households,population,location_type,# Owner Households,# Rental Households,Average Rental Shelter Cost,Average Owned Dwelling Value,Averaged Median Rental Shelter Cost,Averaged Median Owned Dwelling Value
8060,ZN 3, ,4566, ,SKYTRAIN @ SURREY CENTRAL STN,SURREY CENTRAL STATION,1874080.9365069643,3573,7452,0,1347.7442785330638,2178.2659319792488,794.3999001293538,271033.8106189298,753.1034749526008,243378.5614070076
11296,ZN 2, ,76, ,SKYTRAIN @ TEMPLETON STN,TEMPLETON STATION,926216.6726532485,75,210,0,65.72164948453607,0.0,,671858.0,,696607.0000000001
11298,ZN 2, ,94, ,SKYTRAIN @ SEA ISLAND STN,SEA ISLAND CENTRE STATION,674413.5227701255,92,237,0,80.61855670103093,0.0,,671858.0,,696607.0
11300,ZN 2, ,0, ,SKYTRAIN @ YVR-AIRPORT STN,YVR-AIRPORT STATION,175539.7820581358,0,0,0,0.0,0.0,,,,
8075,ZN 1, ,13522, ,SKYTRAIN @ STADIUM STN,STADIUM-CHINATOWN STATION,1833843.681451112,11977,22639,0,4779.712437964728,7195.456725436514,1280.8700861139625,567008.0546858488,1240.5436544615766,494662.95586634456
11286,ZN 1, ,2710, ,SKYTRAIN @ MARINE DRIVE STN,MARINE DRIVE STATION,1928710.4019504192,2593,6807,0,1243.6530216843032,1349.7509972417708,948.0379870648345,997822.6660394376,944.9979821497975,904063.8484246414
8052,ZN 2, ,1208, ,SKYTRAIN @ 22ND ST STN,22ND STREET STATION,1324448.665018332,1109,3340,0,809.8182896353425,298.5210753290455,913.6069179592722,651583.1311136882,763.110779545462,639001.7426515189
8059,ZN 3, ,5090, ,SKYTRAIN @ KING GEORGE STN,KING GEORGE STATION,2147595.993081763,4168,9076,0,2042.5268628470549,2105.744903940407,824.6890737234896,284443.3327937233,798.8979087769086,255304.38569221421
8071,ZN 1, ,4643, ,SKYTRAIN @ 29TH AV STN,29TH AVENUE STATION,1963763.7620920104,4278,12938,0,2635.8796660368675,1655.078557136069,867.7585705366074,734385.6727201104,779.0578093598056,730508.8664694724
8068,ZN 2, ,10284, ,SKYTRAIN @ METROTOWN STN,METROTOWN STATION,1944158.072041153,9767,20900,0,3946.2406964670167,5769.990319295535,977.3540938340635,461378.654556975,956.5249784898645,433891.7465110758
8064,ZN 2, ,8368, ,SKYTRAIN @ NEW WESTMINSTER STN,NEW WESTMINSTER STATION,1932806.7535920574,7921,14649,0,4616.069183234445,3291.334739577651,957.9902224268213,347705.00076581736,992.9189692612813,328759.93925702566
8073,ZN 1, ,6602, ,SKYTRAIN @ COMMERCIAL-BROADWAY STN,COMMERCIAL-BROADWAY STATION PLATFORM 3,1962082.9657483613,6168,12919,0,2192.5053241653122,3962.776724527044,903.7067388535543,656829.8884051588,874.9853932725241,630151.9049806893
11278,ZN 1, ,8063, ,SKYTRAIN @ BROADWAY-CITY HALL STN,BROADWAY-CITY HALL STATION,1864996.5967842957,7636,13825,0,3318.2353641289756,4324.857392717475,1182.984759487425,622308.7477082574,1151.8972718549858,561102.9109314317
8047,ZN 1, ,8062, ,SKYTRAIN @ JOYCE STN,JOYCE-COLLINGWOOD STATION,1999470.8277029728,7705,19910,0,4244.708553351675,3457.7459312928995,970.1615222517032,558309.9539992315,947.1858148589503,550273.9758314347
8579,ZN 2, ,2554, ,SKYTRAIN @ SAPPERTON STN,SAPPERTON STATION,2117497.6535342825,2403,5175,0,1554.888888888889,857.1666666666666,852.1353295741786,454286.41967986274,851.2173828504765,404838.4591253394
8074,ZN 1, ,5338, ,SKYTRAIN @ MAIN STREET STN,MAIN STREET-SCIENCE WORLD STATION,1576764.3070079521,4484,8978,0,1924.6732181014333,2654.1567586919696,1079.1454006150943,603999.4739632654,1018.6044714081513,538616.739775072
8757,ZN 2, ,1088, ,SKYTRAIN @ SPERLING STN,SPERLING-BURNABY LAKE STATION,1416610.6882098753,1067,3229,0,914.7943733436066,168.2238402224298,1474.864409162783,796114.5492746197,1468.2633289368237,745459.0332070923
11285,ZN 1, ,3254, ,SKYTRAIN @ LANGARA-49TH AVENUE STN,LANGARA-49TH AVENUE STATION,2238355.146282932,3038,7241,0,1694.3668804970173,1340.3572783760555,1296.3490776179453,1134143.4392016267,1266.2412706971759,1086285.8515582774
11273,ZN 1, ,18811, ,SKYTRAIN @ VANCOUVER CITY CENTRE STN,VANCOUVER CITY CENTRE STATION,1834331.277555515,16132,27217,0,6343.748427288551,9792.35779436989,1379.9305017216616,556432.5123501993,1364.9569244937006,468552.43174008065
8045,ZN 1, ,4400, ,SKYTRAIN @ NANAIMO STN,NANAIMO STATION,1968039.5764062044,4000,11727,0,2472.2545701632757,1576.1797696576753,939.830428738502,739937.1782622657,906.648099519222,723131.7267309307
8066,ZN 2, ,5422, ,SKYTRAIN @ EDMONDS STN,EDMONDS STATION,1791384.6484293086,5271,11898,0,3811.612928217089,1430.6738283929453,946.9481851866101,428420.1181941389,919.9188469263656,398233.2765653363
8067,ZN 2, ,4104, ,SKYTRAIN @ ROYAL OAK STN,ROYAL OAK STATION,1946939.170427428,3898,9477,0,2222.4915328897027,1648.191374844149,966.245679518127,528937.8074874646,922.1334469925839,503990.8581729881
8758,ZN 2, ,2800, ,SKYTRAIN @ HOLDOM STN,HOLDOM STATION,1700691.4268813042,2675,6616,0,1795.5687761518982,879.416370176204,1274.2894054463839,599562.7937359635,1295.2325082211844,569485.2198025384
8760,ZN 2, ,2818, ,SKYTRAIN @ GILMORE STN,GILMORE STATION,2083302.7990040667,2729,5586,0,2184.7731938943166,546.7701413243517,1318.2795052075105,487135.5550510282,1381.0207503730837,428002.14281779726
11290,ZN 2, ,581, ,SKYTRAIN @ ABERDEEN STN,ABERDEEN STATION,2334176.470686642,483,1043,0,241.16252219000734,239.27154323792217,1210.659366672785,516548.76491942944,1259.5264223911488,490969.04623707035
8577,ZN 2, ,873, ,SKYTRAIN @ BRAID STN,BRAID STATION,1864201.3872100022,803,2302,0,572.2033157423381,244.6324792847001,996.0416908809767,522556.1986391767,1034.4454761489878,491582.62975827453
11276,ZN 1, ,6511, ,SKYTRAIN @ OLYMPIC VILLAGE STN,OLYMPIC VILLAGE STATION,1798554.421033315,5806,10644,0,2589.8086063898,3204.0454794692673,1261.446382827446,618665.7626303921,1247.5686851724133,559449.871341187
8078,ZN 1, ,5341, ,SKYTRAIN @ WATERFRONT STN,WATERFRONT STATION,1440113.168885851,4349,8083,0,1815.9286504557201,2427.0721032380593,1331.7321307547365,769748.1117632922,1384.751256650647,557153.6876206091
8762,ZN 1, ,3332, ,SKYTRAIN @ RENFREW STN,RENFREW STATION,2077512.1696934619,3202,9120,0,1944.5299833655972,1236.2529093699866,869.4622986086312,724765.5729701056,828.9325691837741,712266.4554117484
11280,ZN 1, ,2903, ,SKYTRAIN @ KING EDWARD STN,KING EDWARD STATION,1861658.425892496,2792,7282,0,1618.0331027878424,1137.0744011534107,1199.7449586001562,1303635.253969113,1121.5360033536892,1263991.1433737467
11292,ZN 2, ,5834, ,SKYTRAIN @ LANSDOWNE STN,LANSDOWNE STATION,1914925.1920531045,5290,11666,0,3405.2520385470716,1921.6239542518267,1253.9124410782715,415274.35494379787,1290.002183689479,400968.66307332786
8752,ZN 1, ,2424, ,SKYTRAIN @ RUPERT STN,RUPERT STATION,1992233.4152958516,2223,6493,0,1260.6627163215082,930.8290883684183,867.712889393269,780250.2531398551,780.2559700222185,764206.4151985127
8756,ZN 2, ,616, ,SKYTRAIN @ PRODUCTION WAY STN,PRODUCTION WAY-UNIVERSITY STATION,1798653.4937345884,610,1909,0,504.3112842398599,106.45430680711902,1312.2490918681904,694228.2546883137,1537.516827766672,588357.8653050066
12034,ZN 1, ,5910, ,SKYTRAIN @ WATERFRONT STATION,WATERFRONT STATION ALL LINES,1496733.7290164437,4829,8967,1,1996.6130624074428,2722.046474918841,1358.3262034264042,750472.0466345521,1400.3169849776752,554199.8253152582
8755,ZN2/3, ,7347, ,SKYTRAIN @ LOUGHEED STN,LOUGHEED TOWN CENTRE STATION,2133948.9740978507,7141,14699,0,3544.4961945176283,3603.3297404992954,1034.7648148797166,348230.98978753755,974.321866329132,331008.41535479575
8076,ZN 1, ,15078, ,SKYTRAIN @ GRANVILLE STN,GRANVILLE STATION,2021317.5788066504,12787,22262,0,5479.055309013095,7321.808691014194,1434.4469539244708,604839.0911898788,1427.4600476131372,489562.8206766801
11294,ZN 2, ,7622, ,SKYTRAIN @ BRIGHOUSE STN,RICHMOND-BRIGHOUSE STATION,1921711.4655870493,6811,15053,0,4205.839153049529,2607.68143611717,1124.4103982820204,393589.8348420017,1156.2033960750925,384100.8273574246
11288,ZN 2, ,245, ,SKYTRAIN @ BRIDGEPORT STN,BRIDGEPORT STATION,1847421.5700559532,234,729,0,176.8529399755002,60.4374846876276,1190.9286737372931,643096.3110473402,1146.0158325642485,673302.7825140723
8759,ZN 2, ,4475, ,SKYTRAIN @ BRENTWOOD STN,BRENTWOOD TOWN CENTRE STATION,2004674.2252639397,4281,9033,0,3154.5719839320095,1141.2249317294215,1301.0745172511458,517084.22830901935,1337.3143658622587,469604.78078685806
8077,ZN 1, ,15038, ,SKYTRAIN @ BURRARD STN,BURRARD STATION,1741819.0774487376,12371,21687,0,4389.110400006943,7889.4465831959915,1379.8562146584961,677237.576636896,1331.2859570984892,521681.6232922032
